start_time,end_time,1.0-8.0A_peak_time,1.0-8.0A_peak_val,4-10keV_peak_time,4-10keV_peak_val,10-15keV_peak_time,10-15keV_peak_val,15-25keV_peak_time,15-25keV_peak_val,25-50keV_peak_time,25-50keV_peak_val,50-84keV_peak_time,50-84keV_peak_val,bkg 4-10 keV,bkg 10-15 keV,bkg 15-25 keV,bkg 25-50 keV,bkg 50-84 keV
2022-04-03 07:40:00.000,2022-04-03 07:52:00.000,2022-04-03 07:47:15,1.5655576e-06,2022-04-03 07:51:30.059000,799,2022-04-03 07:47:26.059000,75,2022-04-03 07:48:26.059000,83,2022-04-03 07:44:46.059000,0,2022-04-03 07:44:46.059000,0,271.0,49.0,67.0,799.0,431.0
2022-04-16 10:39:00.000,2022-04-16 10:47:00.000,2022-04-16 10:43:00,2.4648102e-06,2022-04-16 10:42:57.503000,431,2022-04-16 10:39:01.502000,67,2022-04-16 10:41:17.503000,83,2022-04-16 10:38:09.502000,0,2022-04-16 10:38:09.502000,0,271.0,49.0,67.0,799.0,431.0
2022-04-17 17:40:00.000,2022-04-17 17:49:00.000,2022-04-17 17:44:33,1.8505214e-06,2022-04-17 17:44:01.654000,7423,2022-04-17 17:43:53.654000,1727,2022-04-17 17:43:53.654000,495,2022-04-17 17:34:01.653000,0,2022-04-17 17:34:01.653000,0,271.0,49.0,67.0,799.0,431.0
2022-04-18 20:05:00.000,2022-04-18 20:30:00.000,2022-04-18 20:15:58,7.66276e-06,2022-04-18 20:20:02.611000,463,2022-04-18 20:19:06.611000,91,2022-04-18 19:57:26.609000,83,2022-04-18 19:57:14.609000,0,2022-04-18 19:57:14.609000,0,247.0,49.0,67.0,799.0,431.0
2022-04-20 00:46:00.000,2022-04-20 01:03:00.000,2022-04-20 00:51:51,4.216164e-06,2022-04-20 00:48:39.579000,21503,2022-04-20 00:47:43.579000,1983,2022-04-20 00:47:43.579000,863,2022-04-20 00:47:43.579000,991,2022-04-20 00:18:27.576000,0,247.0,45.0,61.0,799.0,431.0
2022-04-20 01:07:00.000,2022-04-20 01:20:00.000,2022-04-20 01:14:19,1.3262773e-05,2022-04-20 01:13:19.495000,344063,2022-04-20 01:13:23.495000,63487,2022-04-20 01:12:47.495000,13823,2022-04-20 01:12:47.495000,2175,2022-04-20 00:57:07.493000,0,247.0,45.0,61.0,799.0,431.0
2022-05-20 12:10:00.000,2022-05-20 12:26:00.000,2022-05-20 12:17:08,2.8280822e-06,2022-05-20 12:08:43.078000,335,2022-05-20 12:08:51.078000,61,2022-05-20 12:11:59.078000,83,2022-05-20 12:08:23.078000,0,2022-05-20 12:08:23.078000,0,271.0,45.0,61.0,799.0,431.0
2022-06-20 14:46:00.000,2022-06-20 15:19:00.000,2022-06-20 15:17:24,3.5106823e-06,2022-06-20 14:50:35.339000,1471,2022-06-20 14:48:39.338000,215,2022-06-20 14:48:31.338000,99,2022-06-20 14:37:15.337000,0,2022-06-20 14:37:15.337000,0,231.0,45.0,61.0,799.0,431.0
2022-07-16 13:04:00.000,2022-07-16 13:23:00.000,2022-07-16 13:11:33,2.0320158e-06,2022-07-16 13:10:22.418000,1727,2022-07-16 13:09:58.418000,231,2022-07-16 13:09:58.418000,91,2022-07-16 12:58:34.417000,0,2022-07-16 12:58:34.417000,0,247.0,49.0,61.0,799.0,431.0
2022-07-20 08:55:00.000,2022-07-20 09:06:00.000,2022-07-20 09:03:20,1.6959394e-06,2022-07-20 09:00:30.193000,671,2022-07-20 08:59:06.192000,115,2022-07-20 08:26:50.189000,83,2022-07-20 08:25:18.189000,0,2022-07-20 08:25:18.189000,0,247.0,49.0,61.0,799.0,431.0
2022-07-23 09:34:00.000,2022-07-23 09:54:00.000,2022-07-23 09:46:24,1.7910867e-06,2022-07-23 09:45:38.492000,1087,2022-07-23 09:44:54.492000,135,2022-07-23 09:14:42.489000,83,2022-07-23 09:14:42.489000,0,2022-07-23 09:14:42.489000,0,247.0,49.0,61.0,799.0,399.0
2022-07-23 22:18:00.000,2022-07-23 22:35:00.000,2022-07-23 22:31:29,2.513569e-06,2022-07-23 22:28:23.215000,3711,2022-07-23 22:25:35.215000,303,2022-07-23 22:25:19.215000,99,2022-07-23 22:08:03.213000,0,2022-07-23 22:08:03.213000,0,247.0,49.0,61.0,799.0,399.0
2022-08-18 21:44:00.000,2022-08-18 22:02:00.000,2022-08-18 21:57:58,6.681379e-06,2022-08-18 22:00:05.515000,735,2022-08-18 21:59:33.515000,75,2022-08-18 21:23:05.511000,91,2022-08-18 21:13:45.510000,0,2022-08-18 21:13:45.510000,0,231.0,45.0,57.0,735.0,399.0
