goes_start_time,goes_end_time,stix_start_time,stix_end_time
2023-02-10 08:02:00.000,2023-02-10 08:09:00.000,2023-02-10T07:33:27.726,2023-02-10T08:29:11.732
2023-02-10 14:35:00.000,2023-02-10 15:12:00.000,2023-02-10T14:35:35.771,2023-02-10T15:10:35.774
2023-02-10 15:29:00.000,2023-02-10 16:13:00.000,2023-02-10T15:23:15.776,2023-02-10T16:31:59.783
2023-02-10 22:34:00.000,2023-02-10 22:48:00.000,2023-02-10T22:33:35.821,2023-02-10T23:13:15.825
2023-02-11 07:59:00.000,2023-02-11 08:15:00.000,2023-02-11T07:52:07.679,2023-02-11T08:31:15.683
2023-02-11 12:05:00.000,2023-02-11 12:15:00.000,2023-02-11T11:57:27.705,2023-02-11T13:01:35.612
2023-02-11 15:40:00.000,2023-02-11 15:54:00.000,2023-02-11T15:40:07.629,2023-02-11T16:23:39.633
2023-02-11 17:11:00.000,2023-02-11 17:31:00.000,2023-02-11T17:17:39.639,2023-02-11T17:36:43.641
2023-02-12 08:35:00.000,2023-02-12 08:52:00.000,2023-02-12T08:37:39.635,2023-02-12T10:02:11.644
2023-02-13 15:49:00.000,2023-02-13 16:03:00.000,2023-02-13T15:23:31.829,2023-02-13T16:39:27.837
2023-02-14 01:57:00.000,2023-02-14 02:07:00.000,2023-02-14T01:56:43.796,2023-02-14T02:18:39.798
2023-02-14 11:59:00.000,2023-02-14 12:46:00.000,2023-02-14T12:02:43.859,2023-02-14T13:36:03.870
2023-02-15 04:33:00.000,2023-02-15 05:07:00.000,2023-02-15T04:24:27.962,2023-02-15T05:12:47.967
2023-02-16 00:19:00.000,2023-02-16 00:43:00.000,2023-02-16T00:19:16.088,2023-02-16T01:08:32.093
2023-02-17 19:38:00.000,2023-02-17 20:50:00.000,2023-02-17T19:51:04.262,2023-02-17T20:01:36.263
2023-02-20 14:47:00.000,2023-02-20 15:03:00.000,2023-02-20T14:46:58.586,2023-02-20T14:48:50.586
2023-02-21 19:57:00.000,2023-02-21 20:30:00.000,2023-02-21T19:59:30.671,2023-02-21T20:01:30.671
2023-02-22 04:51:00.000,2023-02-22 05:40:00.000,2023-02-22T04:50:38.629,2023-02-22T06:02:58.536
2023-02-22 13:36:00.000,2023-02-22 13:58:00.000,2023-02-22T13:35:42.585,2023-02-22T14:45:26.593
2023-02-23 06:11:00.000,2023-02-23 06:18:00.000,2023-02-23T05:59:18.588,2023-02-23T06:41:38.593
2023-02-24 17:11:00.000,2023-02-24 17:20:00.000,2023-02-24T17:10:30.512,2023-02-24T17:31:54.514
2023-02-24 20:03:00.000,2023-02-24 21:29:00.000,2023-02-24T20:12:50.431,2023-02-24T20:46:38.434
2023-02-25 18:40:00.000,2023-02-25 20:27:00.000,2023-02-25T18:48:30.574,2023-02-25T18:55:34.575
2023-02-28 17:35:00.000,2023-02-28 17:56:00.000,2023-02-28T17:40:14.824,2023-02-28T17:44:18.824
2023-03-02 21:05:00.000,2023-03-02 21:25:00.000,2023-03-02T21:02:42.849,2023-03-02T22:25:34.858
2023-03-03 10:10:00.000,2023-03-03 10:48:00.000,2023-03-03T10:08:42.732,2023-03-03T11:26:14.741
2023-03-03 17:42:00.000,2023-03-03 17:59:00.000,2023-03-03T17:47:30.781,2023-03-03T19:17:34.790
2023-03-04 13:34:00.000,2023-03-04 13:47:00.000,2023-03-04T13:31:46.806,2023-03-04T14:03:18.809
2023-03-04 15:19:00.000,2023-03-04 16:26:00.000,2023-03-04T15:11:10.816,2023-03-04T16:30:02.824
2023-03-05 02:40:00.000,2023-03-05 03:03:00.000,2023-03-05T02:39:02.889,2023-03-05T02:57:06.891
2023-03-05 21:29:00.000,2023-03-05 21:41:00.000,2023-03-05T21:26:46.808,2023-03-05T23:15:26.819
2023-03-06 02:08:00.000,2023-03-06 02:35:00.000,2023-03-06T02:11:04.838,2023-03-06T03:37:16.847
2023-03-08 09:53:00.000,2023-03-08 10:46:00.000,2023-03-08T09:54:04.490,2023-03-08T11:12:36.498
2023-03-08 22:35:00.000,2023-03-08 22:52:00.000,2023-03-08T22:36:48.471,2023-03-08T22:49:40.472
2023-03-20 01:19:00.000,2023-03-20 02:26:00.000,2023-03-20T00:58:45.068,2023-03-20T02:23:25.077
2023-03-29 02:18:00.000,2023-03-29 02:40:00.000,2023-03-29T02:14:28.145,2023-03-29T03:20:32.152
2023-03-29 13:47:00.000,2023-03-29 14:15:00.000,2023-03-29T13:41:16.225,2023-03-29T14:48:44.232
